time,latitude,longitude,mag,country
1989-09-04,55.3217,-156.4293,7.0,USA
1989-05-14,-30.523,-178.414,7.0,New Zealand
1989-05-05,-8.281,-71.381,7.1,Brazil
1989-02-10,2.305,126.76,7.1,Indonesia
1988-11-06,22.789,99.611,7.7,China
1988-10-08,-18.771,-172.415,7.1,Tonga
1988-08-10,-10.366,160.819,7.6,Solomon Islands
1988-08-06,25.149,95.127,7.3,India
1988-07-25,-6.081,133.667,7.0,Indonesia
1988-07-23,-6.526,152.779,7.0,Guinea
1988-04-12,-17.192,-72.305,7.1,Peru
1988-03-06,56.953,-143.032,7.8,USA
1988-02-24,13.477,124.616,7.3,Philippines
1988-02-05,-24.753,-70.433,7.2,Chile
1988-01-19,-24.71,-70.568,7.0,Chile
1987-11-30,58.679,-142.786,7.9,USA
1987-10-16,-6.266,149.06,7.4,Guinea
1987-10-12,-7.288,154.371,7.0,Guinea
1987-10-06,-17.94,-172.225,7.3,Tonga
1987-08-08,-19.022,-69.991,7.2,Chile
1987-06-17,-5.577,130.791,7.1,Indonesia
1987-04-01,-22.767,-66.205,7.0,Argentina
1987-03-06,0.151,-77.821,7.2,Ecuador
1987-03-05,-24.495,-70.701,7.0,Chile
1987-03-05,-24.388,-70.161,7.6,Chile
1987-02-08,-6.088,147.689,7.4,Guinea
1986-11-14,23.901,121.574,7.4,Taiwan
1986-10-30,-21.702,-176.616,7.2,Tonga
1986-08-30,45.547,26.316,7.2,Romania
1986-08-14,1.795,126.519,7.5,Indonesia
1986-06-24,-4.448,143.943,7.2,Guinea
1986-06-16,-22.037,-178.925,7.1,Fiji
1986-05-26,-20.19,178.86,7.1,Fiji
1986-05-07,51.52,-174.776,8.0,USA
1986-04-30,18.404,-102.973,7.0,Mexico
1986-01-15,-21.277,170.102,7.1,Vanuatu
1985-12-21,-13.966,166.516,7.1,Vanuatu
1985-11-28,-13.987,166.185,7.0,Vanuatu
1985-11-28,-14.043,166.24,7.0,Vanuatu
1985-11-17,-1.639,134.911,7.1,Indonesia
1985-09-21,17.802,-101.647,7.6,Mexico
1985-09-19,18.19,-102.533,8.0,Mexico
1985-08-23,39.431,75.224,7.0,China
1985-07-29,36.19,70.896,7.4,Afghanistan
1985-07-03,-4.439,152.828,7.3,Guinea
1985-05-10,-5.599,151.045,7.2,Guinea
1985-04-23,15.344,120.61,7.0,Philippines
1985-04-13,1.622,126.411,7.0,Indonesia
1985-04-09,-34.131,-71.618,7.2,Chile
1985-03-04,-33.207,-71.663,7.4,Chile
1985-03-03,-33.135,-71.871,8.0,Chile
1984-11-20,5.167,125.124,7.5,Philippines
1984-11-17,0.197,98.027,7.1,Indonesia
1984-10-15,-15.86,-173.643,7.2,Tonga
1984-08-06,-0.086,122.517,7.4,Indonesia
1984-05-30,-4.843,151.577,7.1,Guinea
1984-03-24,44.117,148.192,7.2,Russia
1984-03-19,40.32,63.35,7.0,Uzbekistan
1984-03-06,29.384,138.935,7.4,Japan
1984-03-05,8.147,123.762,7.3,Philippines
1984-02-07,-10.012,160.469,7.6,Solomon Islands
1984-01-08,-2.823,118.806,7.0,Indonesia
1984-01-01,33.683,136.894,7.2,Japan
1983-12-30,36.372,70.738,7.4,Afghanistan
1983-12-02,14.066,-91.924,7.0,Guatemala
1983-10-04,-26.535,-70.563,7.4,Chile
1983-08-17,55.867,161.287,7.1,Russia
1983-05-26,40.462,139.102,7.4,Japan
1983-04-18,27.793,62.054,7.0,Iran
1983-04-12,-4.843,-78.103,7.0,Peru
1983-04-03,8.717,-83.123,7.1,Costa Rica
1983-03-18,-4.883,153.581,7.6,Guinea
1983-01-17,38.026,20.228,7.0,Greece
1982-12-19,-24.133,-175.864,7.2,Tonga
1982-08-05,-12.597,165.931,7.0,Solomon Islands
1982-07-23,36.194,141.702,7.1,Japan
1982-07-04,27.929,136.967,7.1,Japan
1982-06-19,13.332,-89.387,7.3,El Salvador
1982-06-07,16.558,-98.358,7.0,Mexico
1982-01-11,13.752,124.358,7.1,Philippines
1981-12-26,-29.934,-177.741,7.1,New Zealand
1981-12-19,39.243,25.227,7.2,Greece
1981-10-25,18.048,-102.084,7.3,Mexico
1981-10-16,-33.134,-73.074,7.2,Chile
1981-09-01,-14.96,-173.085,7.7,Tonga
1981-07-28,30.013,57.794,7.1,Iran
1981-07-15,-17.26,167.601,7.0,Vanuatu
1981-05-25,-48.786,164.357,7.6,New Zealand
1981-01-30,51.744,176.274,7.0,USA
1980-11-08,41.117,-124.253,7.2,USA
1980-10-25,-21.89,169.853,7.2,New Caledonia
1980-10-10,36.195,1.354,7.3,Algeria
1980-07-17,-12.525,165.916,7.9,Solomon Islands
1980-07-08,-12.41,166.381,7.5,Solomon Islands
1980-02-23,43.53,146.753,7.0,Russia
1979-12-12,1.598,-79.358,7.7,Ecuador
1979-11-27,33.962,59.726,7.1,Iran
1979-10-23,-10.615,161.284,7.1,Solomon Islands
1979-10-12,-46.675,165.707,7.4,New Zealand
1979-09-12,-1.679,136.04,7.9,Indonesia
1979-08-26,19.066,122.096,7.1,Philippines
1979-03-14,17.813,-101.276,7.6,Mexico
1979-02-28,60.642,-141.593,7.1,USA
1978-12-23,23.247,122.075,7.0,Taiwan
1978-11-29,16.01,-96.591,7.7,Mexico
1978-11-05,-11.132,162.136,7.1,Solomon Islands
1978-09-16,33.386,57.434,7.4,Iran
1978-08-23,10.204,-85.222,7.0,Costa Rica
1978-07-23,22.282,121.512,7.4,Taiwan
1978-06-17,-17.098,-172.264,7.0,Tonga
1978-06-12,38.19,142.028,7.7,Japan
1978-03-24,42.839,78.606,7.1,Kyrgyzstan
1978-03-24,44.244,148.862,7.6,Russia
1978-03-23,44.932,148.439,7.5,Russia
